Unnamed: 0,user,smogList,fleschRList,ariList,complexList,colemanList,charList,fleschKList,sentencesList,gunningList,wordsList,smogIList,syllablesList
91869,derrick-j,13.663,40.174,16.328,17.0,12.41,728.0,15.208,5.0,16.4,152.0,13.1,244.0
91870,derrick-j,12.458,46.495,14.486,16.0,11.857,759.0,13.233,6.0,14.4,156.0,11.944,247.0
91871,derrick-j,13.053125000000001,33.687125,11.359625000000001,304.0,10.443125,7934.0,11.873999999999999,73.0,14.3,1633.0,12.515,2790.0
91872,derrick-j,12.385,49.35,9.42,42.0,11.752,1159.0,9.963,16.0,12.8,231.0,11.874,390.0
91873,derrick-j,11.208,64.203,5.996,8.0,7.805,259.0,8.155,4.0,10.8,62.0,10.746,93.0
91874,derrick-j,15.382,38.052,12.776,23.0,12.595,534.0,13.268,5.0,16.8,107.0,14.747,186.0
91875,derrick-j,14.265,32.807,13.271,38.0,14.027,1052.0,13.677,10.0,15.2,201.0,13.677,365.0
91876,derrick-j,6.608,26.8345,5.545,53.0,4.7435,1745.0,5.7435,17.0,7.2,391.0,6.3355,600.0
91877,derrick-j,12.341,48.385,10.501,13.0,11.626,444.0,11.082,5.0,12.8,92.0,11.832,152.0
91878,derrick-j,7.169,86.45,-1.767,1.0,-0.713,30.0,2.195,2.0,6.4,8.0,6.873,11.0
91879,derrick-j,6.742,93.777,0.356,2.0,2.942,139.0,1.968,5.0,4.8,36.0,6.464,45.0
91880,derrick-j,13.384,48.876,12.537,29.0,11.156,992.0,12.211,9.0,14.4,209.0,12.832,332.0
91881,derrick-j,8.842,80.333,3.986,2.0,5.542,107.0,5.408,2.0,8.0,27.0,8.477,36.0
91882,derrick-j,14.24975,23.917,12.8635,337.0,12.365125,7605.0,13.220375000000002,65.0,15.850000000000001,1454.0,13.662125000000001,2677.0
91883,derrick-j,12.540249999999999,22.807000000000002,13.5455,168.0,8.78575,4652.0,13.08175,35.0,15.099999999999998,974.0,12.023249999999999,1628.0
91884,derrick-j,7.8715,20.5955,8.175,39.0,6.265,1164.0,7.5145,8.0,9.2,242.0,7.5465,386.0
91885,derrick-j,15.514,39.103,15.538,47.0,11.734,1371.0,14.836,10.0,17.6,283.0,14.874,465.0
91886,derrick-j,14.708625,21.52525,13.69075,335.0,12.691125,7496.0,13.88525,60.0,16.5,1425.0,14.102125,2639.0
91887,derrick-j,11.208,42.937,17.181,2.0,11.225,156.0,15.717,1.0,15.6,34.0,10.746,52.0
91888,derrick-j,19.287,23.05,20.533,32.0,14.48,730.0,18.863,4.0,22.8,142.0,18.492,248.0
91889,derrick-j,7.169,56.755,4.297,1.0,0.122,21.0,5.84,2.0,10.8,4.0,6.873,7.0
91890,derrick-j,6.4195,29.4505,6.711,26.0,4.443,1140.0,6.276,9.0,7.8,272.0,6.1545,377.0
91891,derrick-j,12.76,61.137,8.523,54.0,9.304,1529.0,9.243,19.0,13.2,345.0,12.234,519.0
91892,derrick-j,17.581,31.212,16.921,32.0,13.527,726.0,15.912,5.0,20.0,141.0,16.856,245.0
91893,derrick-j,12.162,46.803,18.114,5.0,8.953,332.0,16.544,2.0,18.0,79.0,11.66,112.0
91894,derrick-j,12.032,64.191,8.459,17.0,7.357,607.0,9.558,7.0,12.8,148.0,11.536,212.0
91895,derrick-j,10.504,58.013,8.821,5.0,9.983,241.0,9.557,3.0,10.4,53.0,10.071,82.0
91896,derrick-j,18.244,18.978,25.467,7.0,12.208,233.0,22.785,1.0,25.2,49.0,17.491,80.0
91897,derrick-j,8.842,63.02,10.287,1.0,7.231,102.0,10.68,1.0,11.6,25.0,8.477,35.0
91898,derrick-j,13.428,49.991,9.862,52.0,11.859,1304.0,10.448,16.0,14.0,268.0,12.874,443.0
91899,derrick-j,8.842,66.636,7.182,3.0,12.187,121.0,5.87,3.0,8.0,23.0,8.477,36.0
91900,derrick-j,9.726,69.131,7.319,8.0,8.626,436.0,7.799,6.0,9.2,101.0,9.325,144.0
91901,derrick-j,11.208,54.45,18.842,2.0,10.176,172.0,15.353,1.0,17.6,39.0,10.746,52.0
91902,derrick-j,9.487,36.6785,8.41575,67.0,7.51725,2630.0,8.9035,31.0,10.3,605.0,9.095500000000001,909.0
91903,derrick-j,14.757,38.415,12.76,29.0,12.379,753.0,13.296,7.0,16.0,152.0,14.148,263.0
91904,derrick-j,10.27,68.746,6.239,25.0,8.048,983.0,7.149,16.0,10.0,224.0,9.847,328.0
91905,derrick-j,10.562999999999999,30.82025,10.0965,166.0,10.00525,4942.0,9.66675,45.0,11.3,966.0,10.12725,1643.0
91906,derrick-j,13.484,39.039,11.551,23.0,12.474,666.0,12.57,7.0,14.4,134.0,12.928,235.0
91907,derrick-j,14.555,52.743,15.176,4.0,9.969,140.0,13.853,1.0,17.6,32.0,13.954,46.0
91908,derrick-j,8.842,66.708,4.292,5.0,7.74,173.0,5.793,5.0,8.0,37.0,8.477,58.0
91909,derrick-j,14.555,42.733,9.044,8.0,11.868,136.0,10.653,2.0,16.8,27.0,13.954,48.0
91910,derrick-j,11.855,50.588,8.953,7.0,11.65,205.0,9.599,3.0,12.0,41.0,11.367,69.0
91911,derrick-j,11.855,51.161,5.816,7.0,9.228,138.0,8.525,3.0,13.2,29.0,11.367,50.0
91912,derrick-j,10.126,67.972,6.259,27.0,8.107,1104.0,7.243,18.0,9.2,251.0,9.708,370.0
91913,derrick-j,10.686,64.855,7.243,28.0,9.247,1110.0,8.111,16.0,10.4,251.0,10.246,374.0
91914,derrick-j,10.914,66.862,5.243,13.0,6.712,412.0,7.447,7.0,10.8,99.0,10.464,147.0
91915,derrick-j,12.745,51.74,13.238,17.0,10.922,706.0,12.253,6.0,14.4,150.0,12.22,230.0
91916,derrick-j,11.766,55.262,11.971,16.0,11.303,730.0,10.981,7.0,12.4,153.0,11.281,234.0
91917,derrick-j,10.952,62.723,7.687,15.0,8.122,622.0,9.076,8.0,11.2,147.0,10.5,218.0
91918,derrick-j,11.538,62.885,9.973,26.0,9.913,1093.0,9.477,12.0,12.0,241.0,11.062,352.0
91919,derrick-j,14.555,23.425,13.494,4.0,17.119,83.0,13.47,1.0,16.8,14.0,13.954,28.0
91920,derrick-j,10.864,59.915,5.628,11.0,8.785,281.0,7.387,6.0,11.2,60.0,10.416,97.0
91921,derrick-j,17.694,27.344,16.541,13.0,13.176,285.0,16.401,2.0,20.4,56.0,16.964,100.0
91922,derrick-j,12.603,49.088,10.227,11.0,12.472,328.0,10.512,4.0,12.8,66.0,12.083,110.0
91923,derrick-j,11.855,56.045,10.112,14.0,12.015,499.0,9.665,6.0,12.0,102.0,11.367,161.0
91924,derrick-j,7.2775,20.82,6.5175,64.0,6.2915,1751.0,6.4505,16.0,7.8,351.0,6.977,593.0
91925,derrick-j,5.145,31.577,4.4495,22.0,4.2435,1215.0,4.736,14.0,5.4,283.0,4.933,412.0
91926,derrick-j,11.698,56.909,6.968,18.0,9.427,490.0,8.613,8.0,11.6,106.0,11.216,171.0
91927,derrick-j,10.504,58.013,8.821,5.0,9.983,241.0,9.557,3.0,10.4,53.0,10.071,82.0
91928,derrick-j,10.952,59.193,5.244,15.0,8.46,361.0,7.425,8.0,11.2,78.0,10.5,127.0
91929,derrick-j,11.698,56.13,8.582,9.0,9.789,316.0,9.778,4.0,11.6,70.0,11.216,110.0
91930,derrick-j,13.024,36.161,12.612,3.0,13.89,99.0,12.936,1.0,13.6,19.0,12.487,34.0
91931,derrick-j,8.076,77.406,2.99,6.0,5.954,311.0,4.761,8.0,6.8,74.0,7.743,105.0
91932,derrick-j,13.925,46.59,11.557,25.0,11.856,686.0,11.765,7.0,14.8,141.0,13.351,233.0
91933,derrick-j,13.295,49.099,10.983,38.0,10.655,1170.0,11.607,12.0,14.0,251.0,12.747,405.0
91934,derrick-j,12.032,64.191,8.459,17.0,7.357,607.0,9.558,7.0,12.8,148.0,11.536,212.0
91935,derrick-j,12.162,46.803,18.114,5.0,8.953,332.0,16.544,2.0,18.0,79.0,11.66,112.0
91936,derrick-j,17.581,31.212,16.921,32.0,13.527,726.0,15.912,5.0,20.0,141.0,16.856,245.0
91937,derrick-j,19.287,23.05,20.533,32.0,14.48,730.0,18.863,4.0,22.8,142.0,18.492,248.0
91938,derrick-j,12.341,48.385,10.501,13.0,11.626,444.0,11.082,5.0,12.8,92.0,11.832,152.0
91939,derrick-j,5.684,87.479,3.603,1.0,4.75,268.0,4.536,5.0,6.0,70.0,5.449,87.0
91940,derrick-j,9.607,71.846,4.533,9.0,7.432,347.0,6.113,7.0,8.8,81.0,9.211,118.0
91941,derrick-j,8.842,62.816,1.445,2.0,4.366,47.0,5.864,2.0,9.2,11.0,8.477,18.0
91942,derrick-j,14.555,-14.595,46.784,4.0,8.853,406.0,39.393,1.0,40.4,97.0,13.954,141.0
91943,derrick-j,3.129,75.875,3.531,0.0,5.914,39.0,3.67,2.0,1.6,8.0,3.0,12.0
91944,derrick-j,12.458,52.958,10.453,16.0,11.295,539.0,10.551,6.0,12.8,113.0,11.944,180.0
91945,derrick-j,13.024,45.582,10.69,9.0,13.613,224.0,10.38,3.0,14.0,42.0,12.487,73.0
91946,derrick-j,13.732,39.335,13.204,31.0,13.172,977.0,13.073,9.0,14.8,192.0,13.165,331.0
91947,derrick-j,3.129,36.62,7.33,0.0,-10.46,6.0,8.4,1.0,0.4,1.0,3.0,2.0
91948,derrick-j,14.265,39.915,14.223,19.0,13.153,595.0,13.505,5.0,15.6,117.0,13.677,198.0
91949,derrick-j,14.555,11.339,13.494,4.0,17.119,83.0,15.156,1.0,16.8,14.0,13.954,30.0
91950,derrick-j,17.122,11.425,14.055,6.0,18.446,80.0,14.895,1.0,23.6,13.0,16.416,28.0
91951,derrick-j,8.418,80.634,3.482,6.0,5.492,348.0,5.136,7.0,7.2,88.0,8.071,118.0
91952,derrick-j,3.129,121.22,-6.8,0.0,-28.13,3.0,-3.4,1.0,0.4,1.0,3.0,1.0
91953,derrick-j,8.842,50.665,4.942,2.0,9.177,76.0,8.18,2.0,8.0,16.0,8.477,28.0
91954,derrick-j,10.355,66.354,9.752,8.0,8.063,477.0,9.619,5.0,11.6,113.0,9.928,157.0
91955,derrick-j,12.458,59.601,7.387,16.0,9.128,427.0,8.962,6.0,12.8,97.0,11.944,150.0
91956,derrick-j,13.024,58.424,9.885,3.0,10.48,88.0,9.831,1.0,13.6,19.0,12.487,29.0
91957,derrick-j,12.341,60.847,8.29,13.0,10.611,363.0,8.648,5.0,12.4,78.0,11.832,120.0
91958,derrick-j,16.828,31.521,18.842,23.0,12.208,680.0,17.744,4.0,20.4,143.0,16.134,235.0
91959,derrick-j,15.903,35.722,17.732,10.0,11.601,321.0,16.848,2.0,19.2,69.0,15.247,111.0
91960,derrick-j,7.169,56.755,4.297,1.0,0.122,21.0,5.84,2.0,10.8,4.0,6.873,7.0
91961,derrick-j,6.4195,29.4505,6.711,26.0,4.443,1140.0,6.276,9.0,7.8,272.0,6.1545,377.0
91962,derrick-j,7.554,87.816,1.818,3.0,4.269,188.0,3.396,5.0,6.0,48.0,7.243,62.0
91963,derrick-j,3.129,77.905,5.475,0.0,1.595,11.0,2.89,1.0,0.8,2.0,3.0,3.0
91964,derrick-j,5.709,31.516,5.464,40.0,4.7735,1919.0,5.0385,19.0,6.2,429.0,5.4735,613.0
91965,derrick-j,7.794,82.39,3.372,2.0,7.214,106.0,3.755,3.0,6.4,24.0,7.472,33.0
91966,derrick-j,11.208,42.937,17.181,2.0,11.225,156.0,15.717,1.0,15.6,34.0,10.746,52.0
91967,derrick-j,7.794,95.546,2.743,2.0,5.76,128.0,2.582,3.0,6.4,32.0,7.472,38.0
91968,derrick-j,10.126,62.544,6.618,6.0,10.491,184.0,6.834,4.0,10.0,37.0,9.708,59.0
91969,derrick-j,14.555,38.275,13.484,32.0,12.089,927.0,13.79,8.0,15.6,189.0,13.954,323.0
91970,derrick-j,3.129,118.175,-2.945,0.0,-2.185,14.0,-2.23,1.0,1.6,4.0,3.0,4.0
91971,derrick-j,8.418,74.813,3.95,6.0,7.06,325.0,5.557,7.0,7.2,77.0,8.071,110.0
91972,derrick-j,11.208,63.821,7.453,6.0,11.65,160.0,7.008,3.0,11.2,32.0,10.746,50.0
91973,derrick-j,10.126,71.609,8.316,9.0,6.851,522.0,8.654,6.0,10.8,130.0,9.708,174.0
91974,derrick-j,10.126,70.566,7.475,9.0,9.28,400.0,7.019,6.0,9.6,87.0,9.708,125.0
91975,derrick-j,10.686,60.964,8.582,7.0,9.789,316.0,9.104,4.0,10.8,70.0,10.246,106.0
91976,derrick-j,34.419,-110.356,84.934,30.0,14.043,836.0,69.642,1.0,73.2,165.0,33.0,292.0
91977,derrick-j,7.752,24.1495,6.083,61.0,4.839,1452.0,6.3475,13.0,8.4,323.0,7.4325,509.0
91978,derrick-j,14.555,23.425,10.466,4.0,13.333,74.0,13.47,1.0,16.8,14.0,13.954,28.0
91979,derrick-j,8.80475,49.44475,4.854749999999999,58.0,4.868,1421.0,6.30675,14.0,9.100000000000001,322.0,8.441749999999999,499.0
91980,derrick-j,16.613,35.031,19.711,39.0,12.513,1245.0,17.565,7.0,20.8,259.0,15.928,411.0
91981,derrick-j,11.513,53.421,8.324,28.0,11.761,798.0,8.847,13.0,11.6,159.0,11.038,265.0
91982,derrick-j,11.208,31.545,9.83,2.0,14.54,36.0,10.35,1.0,15.6,6.0,10.746,12.0
91983,derrick-j,8.842,70.309,4.346,6.0,8.077,268.0,5.978,6.0,7.6,61.0,8.477,91.0
91984,derrick-j,10.126,64.23,7.335,3.0,10.668,116.0,7.282,2.0,9.6,24.0,9.708,37.0
91985,derrick-j,14.708625,21.52525,13.69075,335.0,12.691125,7496.0,13.88525,60.0,16.5,1425.0,14.102125,2639.0
91986,derrick-j,15.514,39.103,15.538,47.0,11.734,1371.0,14.836,10.0,17.6,283.0,14.874,465.0
91987,derrick-j,24.504,-33.108,48.265,14.0,13.207,458.0,40.981,1.0,43.2,93.0,23.494,160.0
91988,derrick-j,7.8715,20.5955,8.175,39.0,6.265,1164.0,7.5145,8.0,9.2,242.0,7.5465,386.0
91989,derrick-j,11.88325,28.1665,10.846,145.0,8.693000000000001,3921.0,11.02975,34.0,13.299999999999999,831.0,11.393250000000002,1372.0
91990,derrick-j,12.540249999999999,22.807000000000002,13.5455,168.0,8.78575,4652.0,13.08175,35.0,15.099999999999998,974.0,12.023249999999999,1628.0
91991,derrick-j,10.239,9.028,10.774,83.0,6.537,1755.0,10.3115,9.0,12.4,358.0,9.8165,628.0
91992,derrick-j,9.726,67.86,9.399,4.0,9.455,263.0,8.68,3.0,10.0,59.0,9.325,83.0
91993,derrick-j,3.129,87.997,5.051,0.0,8.437,49.0,3.718,1.0,4.4,11.0,3.0,14.0
91994,derrick-j,10.504,58.603,10.742,5.0,10.719,285.0,10.137,3.0,11.2,61.0,10.071,92.0
91995,derrick-j,14.023,49.67,11.368,40.0,10.232,1129.0,11.887,11.0,15.2,246.0,13.445,391.0
91996,derrick-j,9.99075,34.7435,8.6435,133.0,8.59325,3882.0,8.85925,37.0,10.5,786.0,9.579,1333.0
91997,derrick-j,3.129,69.785,6.178,0.0,9.472,48.0,6.01,1.0,4.0,10.0,3.0,15.0
91998,derrick-j,12.839,50.607,10.657,26.0,11.932,800.0,10.728,9.0,13.2,164.0,12.309,267.0
91999,derrick-j,7.0695,24.6985,6.564,52.0,4.767,1690.0,6.5385,14.0,8.0,378.0,6.778,581.0
92000,derrick-j,13.024,49.914,10.765,3.0,9.705,99.0,11.763,1.0,14.0,22.0,12.487,35.0
92001,derrick-j,8.644,18.2895,9.216,43.0,5.859,1168.0,8.515,7.0,10.4,250.0,8.2875,396.0
92002,derrick-j,6.332,27.905,5.64,39.0,4.661,1468.0,5.6745,14.0,6.8,331.0,6.071,497.0
92003,derrick-j,13.428,50.076,11.596,26.0,11.134,811.0,11.585,8.0,14.4,171.0,12.874,273.0
92004,derrick-j,14.24975,23.917,12.8635,337.0,12.365125,7605.0,13.220375000000002,65.0,15.850000000000001,1454.0,13.662125000000001,2677.0
92005,derrick-j,8.842,80.333,3.986,2.0,5.542,107.0,5.408,2.0,8.0,27.0,8.477,36.0
92006,derrick-j,13.384,48.876,12.537,29.0,11.156,992.0,12.211,9.0,14.4,209.0,12.832,332.0
92007,derrick-j,6.742,93.777,0.356,2.0,2.942,139.0,1.968,5.0,4.8,36.0,6.464,45.0
92008,derrick-j,6.512,26.12,6.254,33.0,4.749,1268.0,6.1935,11.0,7.2,284.0,6.2435,431.0
92009,derrick-j,14.555,47.565,11.905,4.0,13.632,93.0,11.097,1.0,16.0,18.0,13.954,30.0
92010,derrick-j,7.059,22.6265,7.22,37.0,5.368,1295.0,6.9145,10.0,8.0,277.0,6.768,437.0
92011,derrick-j,7.169,86.45,-1.767,1.0,-0.713,30.0,2.195,2.0,6.4,8.0,6.873,11.0
92012,derrick-j,6.608,26.8345,5.545,53.0,4.7435,1745.0,5.7435,17.0,7.2,391.0,6.3355,600.0
92013,derrick-j,14.265,32.807,13.271,38.0,14.027,1052.0,13.677,10.0,15.2,201.0,13.677,365.0
92014,derrick-j,10.794,67.919,7.212,9.0,8.513,361.0,7.96,5.0,10.4,84.0,10.348,121.0
92015,derrick-j,15.382,38.052,12.776,23.0,12.595,534.0,13.268,5.0,16.8,107.0,14.747,186.0
92016,derrick-j,11.208,64.203,5.996,8.0,7.805,259.0,8.155,4.0,10.8,62.0,10.746,93.0
92017,derrick-j,12.385,49.35,9.42,42.0,11.752,1159.0,9.963,16.0,12.8,231.0,11.874,390.0
92018,derrick-j,13.17275,33.570875,11.417874999999999,300.0,10.461,7772.0,11.912375,71.0,14.4,1597.0,12.629625,2730.0
92019,derrick-j,13.053125000000001,33.687125,11.359625000000001,304.0,10.443125,7934.0,11.873999999999999,73.0,14.3,1633.0,12.515,2790.0
92020,derrick-j,13.024,52.265,13.213,3.0,15.268,98.0,10.441,1.0,13.6,18.0,12.487,29.0
92021,derrick-j,12.458,46.495,14.486,16.0,11.857,759.0,13.233,6.0,14.4,156.0,11.944,247.0
92022,derrick-j,9.2135,40.34975,8.636,136.0,9.0595,5104.0,7.98725,55.0,9.6,1041.0,8.83375,1637.0
92023,derrick-j,13.663,40.174,16.328,17.0,12.41,728.0,15.208,5.0,16.4,152.0,13.1,244.0
92024,derrick-j,9.957,71.568,7.371,10.0,9.033,500.0,7.323,7.0,9.6,114.0,9.547,160.0
92025,derrick-j,7.554,77.452,3.18,3.0,6.723,182.0,4.543,5.0,6.0,42.0,7.243,60.0
92026,derrick-j,15.719,42.031,13.566,68.0,10.215,1720.0,14.051,14.0,17.6,375.0,15.071,610.0
92027,derrick-j,9.516,72.615,4.516,5.0,7.768,191.0,5.864,4.0,8.8,44.0,9.124,64.0
92028,derrick-j,13.024,39.524,16.943,3.0,12.177,152.0,15.696,1.0,16.4,32.0,12.487,51.0
92029,derrick-j,10.780999999999999,33.8195,9.27325,209.0,8.656500000000001,5749.0,9.375,54.0,11.6,1197.0,10.33625,1966.0
92030,derrick-j,18.026,27.869,20.945,68.0,13.619,1883.0,18.738,10.0,22.0,377.0,17.283,627.0
92031,derrick-j,13.228,46.055,10.461,25.0,13.624,625.0,10.593,8.0,14.0,121.0,12.682,208.0
92032,derrick-j,11.855,57.612,9.294,14.0,9.428,521.0,10.068,6.0,12.0,117.0,11.367,179.0
92033,derrick-j,13.295,51.686,11.163,19.0,9.577,618.0,11.764,6.0,14.4,138.0,12.747,215.0
92034,derrick-j,13.484,39.777,11.015,23.0,13.412,595.0,11.828,7.0,14.0,116.0,12.928,206.0
92035,derrick-j,10.952,56.62,9.054,15.0,10.848,629.0,9.523,8.0,10.8,134.0,10.5,211.0
92036,derrick-j,11.208,74.805,3.018,2.0,5.269,47.0,5.807,1.0,11.2,12.0,10.746,17.0
92037,derrick-j,8.842,75.765,5.363,1.0,5.451,68.0,7.163,1.0,9.2,18.0,8.477,24.0
92038,derrick-j,9.516,74.016,4.79,5.0,7.174,212.0,6.041,4.0,8.8,50.0,9.124,71.0
92039,derrick-j,12.341,54.008,8.727,39.0,10.032,1189.0,10.049,15.0,12.4,261.0,11.832,417.0
92040,derrick-j,12.603,34.128,20.102,11.0,10.814,732.0,18.561,4.0,18.4,162.0,12.083,252.0
92041,derrick-j,12.458,53.103,9.463,40.0,9.828,1302.0,10.622,15.0,12.8,288.0,11.944,457.0
92042,derrick-j,6.3015,29.289,4.7355,11.0,4.6685,355.0,5.029,4.0,6.6,80.0,6.0415,121.0
92043,derrick-j,8.239,77.911,1.64,4.0,4.799,113.0,3.684,5.0,8.0,26.0,7.899,38.0
92044,derrick-j,9.995,63.039,6.989,13.0,8.985,573.0,7.945,9.0,9.6,126.0,9.583,193.0
92045,derrick-j,9.995,63.039,6.989,13.0,8.985,573.0,7.945,9.0,9.6,126.0,9.583,193.0
92046,derrick-j,11.9,49.285,7.882,33.0,10.771,878.0,9.597,14.0,12.0,181.0,11.409,309.0
92047,derrick-j,14.118,48.655,11.66,37.0,11.574,1002.0,11.64,10.0,14.8,208.0,13.536,337.0
92048,derrick-j,11.251,-4.34,18.337,46.0,7.1715,1392.0,15.6815,4.0,16.8,272.0,10.787,471.0
92049,derrick-j,12.65,51.956,9.037,25.0,11.893,610.0,9.353,9.0,13.2,121.0,12.129,202.0
92050,derrick-j,13.024,53.877,9.084,45.0,11.437,1141.0,9.686,15.0,13.2,238.0,12.487,385.0
92051,derrick-j,10.504,72.109,5.699,15.0,7.232,544.0,6.735,9.0,10.0,128.0,10.071,182.0
92052,derrick-j,22.076,-9.119,40.777,33.0,12.388,1139.0,34.24,3.0,36.8,238.0,21.166,381.0
92053,derrick-j,3.129,77.905,5.475,0.0,1.595,11.0,2.89,1.0,0.8,2.0,3.0,3.0
92054,derrick-j,22.076,7.762,24.277,11.0,14.472,221.0,22.859,1.0,27.2,43.0,21.166,79.0
92055,derrick-j,14.555,18.94,8.475,4.0,13.595,44.0,12.605,1.0,23.2,8.0,13.954,17.0
92056,derrick-j,3.129,50.665,3.765,0.0,7.705,36.0,8.18,1.0,3.2,8.0,3.0,14.0
92057,derrick-j,3.129,49.543,3.766,0.0,6.831,46.0,9.082,1.0,4.4,11.0,3.0,19.0
92058,derrick-j,8.842,73.845,0.41,1.0,2.76,24.0,4.45,1.0,8.8,6.0,8.477,9.0
92059,derrick-j,14.555,17.625,28.588,4.0,9.232,255.0,25.707,1.0,26.4,60.0,13.954,91.0
92060,derrick-j,10.126,72.519,6.374,3.0,10.03,93.0,5.504,2.0,9.6,19.0,9.708,28.0
92061,derrick-j,22.919,-5.955,21.952,12.0,15.941,194.0,23.033,1.0,27.6,36.0,21.974,75.0
92062,derrick-j,3.129,66.4,3.678,0.0,6.472,24.0,5.24,1.0,2.0,5.0,3.0,8.0
92063,derrick-j,3.129,97.025,0.587,0.0,2.232,17.0,0.72,1.0,1.6,4.0,3.0,5.0
92064,derrick-j,18.244,-2.489,34.417,7.0,5.268,279.0,32.984,1.0,34.4,78.0,17.491,120.0
92065,derrick-j,11.208,43.783,8.598,2.0,4.495,94.0,13.612,1.0,13.2,26.0,10.746,42.0
92066,derrick-j,8.842,47.913,12.886,1.0,5.854,125.0,15.023,1.0,14.4,34.0,8.477,50.0
92067,derrick-j,11.208,15.64,13.098,2.0,18.252,34.0,12.32,1.0,18.0,5.0,10.746,11.0
92068,derrick-j,11.208,65.786,13.62,2.0,12.65,115.0,9.797,1.0,12.4,23.0,10.746,32.0
92069,derrick-j,11.208,53.971,11.372,2.0,12.34,94.0,10.452,1.0,11.6,19.0,10.746,30.0
92070,derrick-j,3.129,75.875,-2.945,0.0,-2.185,14.0,3.67,1.0,1.6,4.0,3.0,6.0
92071,derrick-j,15.903,35.309,11.451,5.0,13.689,88.0,12.558,1.0,18.4,17.0,15.247,31.0
92072,derrick-j,15.903,-1.758,33.84,5.0,2.67,254.0,33.627,1.0,34.8,81.0,15.247,121.0
92073,derrick-j,3.129,90.99,3.62,0.0,3.65,15.0,1.313,1.0,1.2,3.0,3.0,4.0
92074,derrick-j,3.129,73.845,4.335,0.0,7.668,29.0,4.45,1.0,2.4,6.0,3.0,9.0
92075,derrick-j,3.129,54.701,10.33,0.0,15.54,42.0,7.369,1.0,2.8,7.0,3.0,12.0
92076,derrick-j,13.024,39.139,13.559,3.0,4.195,129.0,17.241,1.0,18.0,38.0,12.487,58.0
92077,derrick-j,3.129,36.62,12.04,0.0,-4.57,7.0,8.4,1.0,0.4,1.0,3.0,2.0
92078,derrick-j,8.842,12.425,11.185,1.0,15.485,26.0,12.52,1.0,11.6,4.0,8.477,9.0
92079,derrick-j,3.129,36.62,2.62,0.0,-16.35,5.0,8.4,1.0,0.4,1.0,3.0,2.0
92080,derrick-j,8.842,64.925,5.907,1.0,9.508,51.0,6.936,1.0,8.0,11.0,8.477,17.0
