user,smogList,fleschRList,ariList,complexList,colemanList,charList,fleschKList,sentencesList,gunningList,wordsList,smogIList,syllablesList
derrick-j,12.54025,22.807,13.5455,168,8.78575,4652,13.08175,35,15.1,974,12.02325,1628
derrick-j,7.8715,20.5955,8.175,39,6.265,1164,7.5145,8,9.2,242,7.5465,386
derrick-j,15.514,39.103,15.538,47,11.734,1371,14.836,10,17.6,283,14.874,465
derrick-j,14.708625,21.52525,13.69075,335,12.691125,7496,13.88525,60,16.5,1425,14.102125,2639
derrick-j,11.208,42.937,17.181,2,11.225,156,15.717,1,15.6,34,10.746,52
derrick-j,19.287,23.05,20.533,32,14.48,730,18.863,4,22.8,142,18.492,248
derrick-j,7.169,56.755,4.297,1,0.122,21,5.84,2,10.8,4,6.873,7
derrick-j,6.4195,29.4505,6.711,26,4.443,1140,6.276,9,7.8,272,6.1545,377
derrick-j,12.76,61.137,8.523,54,9.304,1529,9.243,19,13.2,345,12.234,519
derrick-j,17.581,31.212,16.921,32,13.527,726,15.912,5,20,141,16.856,245
derrick-j,12.162,46.803,18.114,5,8.953,332,16.544,2,18,79,11.66,112
derrick-j,12.032,64.191,8.459,17,7.357,607,9.558,7,12.8,148,11.536,212
derrick-j,10.504,58.013,8.821,5,9.983,241,9.557,3,10.4,53,10.071,82
derrick-j,18.244,18.978,25.467,7,12.208,233,22.785,1,25.2,49,17.491,80
derrick-j,8.842,63.02,10.287,1,7.231,102,10.68,1,11.6,25,8.477,35
derrick-j,13.428,49.991,9.862,52,11.859,1304,10.448,16,14,268,12.874,443
derrick-j,8.842,66.636,7.182,3,12.187,121,5.87,3,8,23,8.477,36
derrick-j,9.726,69.131,7.319,8,8.626,436,7.799,6,9.2,101,9.325,144
derrick-j,11.208,54.45,18.842,2,10.176,172,15.353,1,17.6,39,10.746,52
derrick-j,9.487,36.6785,8.41575,67,7.51725,2630,8.9035,31,10.3,605,9.0955,909
derrick-j,14.757,38.415,12.76,29,12.379,753,13.296,7,16,152,14.148,263
derrick-j,10.27,68.746,6.239,25,8.048,983,7.149,16,10,224,9.847,328
derrick-j,10.563,30.82025,10.0965,166,10.00525,4942,9.66675,45,11.3,966,10.12725,1643
derrick-j,13.484,39.039,11.551,23,12.474,666,12.57,7,14.4,134,12.928,235
derrick-j,14.555,52.743,15.176,4,9.969,140,13.853,1,17.6,32,13.954,46
derrick-j,8.842,66.708,4.292,5,7.74,173,5.793,5,8,37,8.477,58
derrick-j,14.555,42.733,9.044,8,11.868,136,10.653,2,16.8,27,13.954,48
derrick-j,11.855,50.588,8.953,7,11.65,205,9.599,3,12,41,11.367,69
derrick-j,11.855,51.161,5.816,7,9.228,138,8.525,3,13.2,29,11.367,50
derrick-j,10.126,67.972,6.259,27,8.107,1104,7.243,18,9.2,251,9.708,370
derrick-j,10.686,64.855,7.243,28,9.247,1110,8.111,16,10.4,251,10.246,374
derrick-j,10.914,66.862,5.243,13,6.712,412,7.447,7,10.8,99,10.464,147
derrick-j,12.745,51.74,13.238,17,10.922,706,12.253,6,14.4,150,12.22,230
derrick-j,11.766,55.262,11.971,16,11.303,730,10.981,7,12.4,153,11.281,234
derrick-j,10.952,62.723,7.687,15,8.122,622,9.076,8,11.2,147,10.5,218
derrick-j,11.538,62.885,9.973,26,9.913,1093,9.477,12,12,241,11.062,352
derrick-j,14.555,23.425,13.494,4,17.119,83,13.47,1,16.8,14,13.954,28
derrick-j,10.864,59.915,5.628,11,8.785,281,7.387,6,11.2,60,10.416,97
derrick-j,17.694,27.344,16.541,13,13.176,285,16.401,2,20.4,56,16.964,100
derrick-j,12.603,49.088,10.227,11,12.472,328,10.512,4,12.8,66,12.083,110
derrick-j,11.855,56.045,10.112,14,12.015,499,9.665,6,12,102,11.367,161
derrick-j,7.2775,20.82,6.5175,64,6.2915,1751,6.4505,16,7.8,351,6.977,593
derrick-j,5.145,31.577,4.4495,22,4.2435,1215,4.736,14,5.4,283,4.933,412
derrick-j,11.698,56.909,6.968,18,9.427,490,8.613,8,11.6,106,11.216,171
derrick-j,10.504,58.013,8.821,5,9.983,241,9.557,3,10.4,53,10.071,82
derrick-j,10.952,59.193,5.244,15,8.46,361,7.425,8,11.2,78,10.5,127
derrick-j,11.698,56.13,8.582,9,9.789,316,9.778,4,11.6,70,11.216,110
derrick-j,13.024,36.161,12.612,3,13.89,99,12.936,1,13.6,19,12.487,34
derrick-j,8.076,77.406,2.99,6,5.954,311,4.761,8,6.8,74,7.743,105
derrick-j,13.925,46.59,11.557,25,11.856,686,11.765,7,14.8,141,13.351,233
derrick-j,13.295,49.099,10.983,38,10.655,1170,11.607,12,14,251,12.747,405
derrick-j,12.032,64.191,8.459,17,7.357,607,9.558,7,12.8,148,11.536,212
derrick-j,12.162,46.803,18.114,5,8.953,332,16.544,2,18,79,11.66,112
derrick-j,17.581,31.212,16.921,32,13.527,726,15.912,5,20,141,16.856,245
derrick-j,19.287,23.05,20.533,32,14.48,730,18.863,4,22.8,142,18.492,248
derrick-j,12.341,48.385,10.501,13,11.626,444,11.082,5,12.8,92,11.832,152
derrick-j,5.684,87.479,3.603,1,4.75,268,4.536,5,6,70,5.449,87
derrick-j,9.607,71.846,4.533,9,7.432,347,6.113,7,8.8,81,9.211,118
derrick-j,8.842,62.816,1.445,2,4.366,47,5.864,2,9.2,11,8.477,18
derrick-j,14.555,-14.595,46.784,4,8.853,406,39.393,1,40.4,97,13.954,141
derrick-j,3.129,75.875,3.531,0,5.914,39,3.67,2,1.6,8,3,12
derrick-j,12.458,52.958,10.453,16,11.295,539,10.551,6,12.8,113,11.944,180
derrick-j,13.024,45.582,10.69,9,13.613,224,10.38,3,14,42,12.487,73
derrick-j,13.732,39.335,13.204,31,13.172,977,13.073,9,14.8,192,13.165,331
derrick-j,3.129,36.62,7.33,0,-10.46,6,8.4,1,0.4,1,3,2
derrick-j,14.265,39.915,14.223,19,13.153,595,13.505,5,15.6,117,13.677,198
derrick-j,14.555,11.339,13.494,4,17.119,83,15.156,1,16.8,14,13.954,30
derrick-j,17.122,11.425,14.055,6,18.446,80,14.895,1,23.6,13,16.416,28
derrick-j,8.418,80.634,3.482,6,5.492,348,5.136,7,7.2,88,8.071,118
derrick-j,3.129,121.22,-6.8,0,-28.13,3,-3.4,1,0.4,1,3,1
derrick-j,8.842,50.665,4.942,2,9.177,76,8.18,2,8,16,8.477,28
derrick-j,10.355,66.354,9.752,8,8.063,477,9.619,5,11.6,113,9.928,157
derrick-j,12.458,59.601,7.387,16,9.128,427,8.962,6,12.8,97,11.944,150
derrick-j,13.024,58.424,9.885,3,10.48,88,9.831,1,13.6,19,12.487,29
derrick-j,12.341,60.847,8.29,13,10.611,363,8.648,5,12.4,78,11.832,120
derrick-j,16.828,31.521,18.842,23,12.208,680,17.744,4,20.4,143,16.134,235
derrick-j,15.903,35.722,17.732,10,11.601,321,16.848,2,19.2,69,15.247,111
derrick-j,7.169,56.755,4.297,1,0.122,21,5.84,2,10.8,4,6.873,7
derrick-j,6.4195,29.4505,6.711,26,4.443,1140,6.276,9,7.8,272,6.1545,377
derrick-j,7.554,87.816,1.818,3,4.269,188,3.396,5,6,48,7.243,62
derrick-j,3.129,77.905,5.475,0,1.595,11,2.89,1,0.8,2,3,3
derrick-j,5.709,31.516,5.464,40,4.7735,1919,5.0385,19,6.2,429,5.4735,613
derrick-j,7.794,82.39,3.372,2,7.214,106,3.755,3,6.4,24,7.472,33
derrick-j,11.208,42.937,17.181,2,11.225,156,15.717,1,15.6,34,10.746,52
derrick-j,7.794,95.546,2.743,2,5.76,128,2.582,3,6.4,32,7.472,38
derrick-j,10.126,62.544,6.618,6,10.491,184,6.834,4,10,37,9.708,59
derrick-j,14.555,38.275,13.484,32,12.089,927,13.79,8,15.6,189,13.954,323
derrick-j,3.129,118.175,-2.945,0,-2.185,14,-2.23,1,1.6,4,3,4
derrick-j,8.418,74.813,3.95,6,7.06,325,5.557,7,7.2,77,8.071,110
derrick-j,11.208,63.821,7.453,6,11.65,160,7.008,3,11.2,32,10.746,50
derrick-j,10.126,71.609,8.316,9,6.851,522,8.654,6,10.8,130,9.708,174
derrick-j,10.126,70.566,7.475,9,9.28,400,7.019,6,9.6,87,9.708,125
derrick-j,10.686,60.964,8.582,7,9.789,316,9.104,4,10.8,70,10.246,106
derrick-j,34.419,-110.356,84.934,30,14.043,836,69.642,1,73.2,165,33,292
derrick-j,7.752,24.1495,6.083,61,4.839,1452,6.3475,13,8.4,323,7.4325,509
derrick-j,14.555,23.425,10.466,4,13.333,74,13.47,1,16.8,14,13.954,28
derrick-j,8.80475,49.44475,4.85475,58,4.868,1421,6.30675,14,9.1,322,8.44175,499
derrick-j,16.613,35.031,19.711,39,12.513,1245,17.565,7,20.8,259,15.928,411
derrick-j,11.513,53.421,8.324,28,11.761,798,8.847,13,11.6,159,11.038,265
derrick-j,11.208,31.545,9.83,2,14.54,36,10.35,1,15.6,6,10.746,12
derrick-j,8.842,70.309,4.346,6,8.077,268,5.978,6,7.6,61,8.477,91
derrick-j,10.126,64.23,7.335,3,10.668,116,7.282,2,9.6,24,9.708,37
derrick-j,14.708625,21.52525,13.69075,335,12.691125,7496,13.88525,60,16.5,1425,14.102125,2639
derrick-j,15.514,39.103,15.538,47,11.734,1371,14.836,10,17.6,283,14.874,465
derrick-j,24.504,-33.108,48.265,14,13.207,458,40.981,1,43.2,93,23.494,160
derrick-j,7.8715,20.5955,8.175,39,6.265,1164,7.5145,8,9.2,242,7.5465,386
derrick-j,11.88325,28.1665,10.846,145,8.693,3921,11.02975,34,13.3,831,11.39325,1372
derrick-j,12.54025,22.807,13.5455,168,8.78575,4652,13.08175,35,15.1,974,12.02325,1628
derrick-j,10.239,9.028,10.774,83,6.537,1755,10.3115,9,12.4,358,9.8165,628
derrick-j,9.726,67.86,9.399,4,9.455,263,8.68,3,10,59,9.325,83
derrick-j,3.129,87.997,5.051,0,8.437,49,3.718,1,4.4,11,3,14
derrick-j,10.504,58.603,10.742,5,10.719,285,10.137,3,11.2,61,10.071,92
derrick-j,14.023,49.67,11.368,40,10.232,1129,11.887,11,15.2,246,13.445,391
derrick-j,9.99075,34.7435,8.6435,133,8.59325,3882,8.85925,37,10.5,786,9.579,1333
derrick-j,3.129,69.785,6.178,0,9.472,48,6.01,1,4,10,3,15
derrick-j,12.839,50.607,10.657,26,11.932,800,10.728,9,13.2,164,12.309,267
derrick-j,7.0695,24.6985,6.564,52,4.767,1690,6.5385,14,8,378,6.778,581
derrick-j,13.024,49.914,10.765,3,9.705,99,11.763,1,14,22,12.487,35
derrick-j,8.644,18.2895,9.216,43,5.859,1168,8.515,7,10.4,250,8.2875,396
derrick-j,6.332,27.905,5.64,39,4.661,1468,5.6745,14,6.8,331,6.071,497
derrick-j,13.428,50.076,11.596,26,11.134,811,11.585,8,14.4,171,12.874,273
derrick-j,14.24975,23.917,12.8635,337,12.365125,7605,13.220375,65,15.85,1454,13.662125,2677
derrick-j,8.842,80.333,3.986,2,5.542,107,5.408,2,8,27,8.477,36
derrick-j,13.384,48.876,12.537,29,11.156,992,12.211,9,14.4,209,12.832,332
derrick-j,6.742,93.777,0.356,2,2.942,139,1.968,5,4.8,36,6.464,45
derrick-j,6.512,26.12,6.254,33,4.749,1268,6.1935,11,7.2,284,6.2435,431
derrick-j,14.555,47.565,11.905,4,13.632,93,11.097,1,16,18,13.954,30
derrick-j,7.059,22.6265,7.22,37,5.368,1295,6.9145,10,8,277,6.768,437
derrick-j,7.169,86.45,-1.767,1,-0.713,30,2.195,2,6.4,8,6.873,11
derrick-j,6.608,26.8345,5.545,53,4.7435,1745,5.7435,17,7.2,391,6.3355,600
derrick-j,14.265,32.807,13.271,38,14.027,1052,13.677,10,15.2,201,13.677,365
derrick-j,10.794,67.919,7.212,9,8.513,361,7.96,5,10.4,84,10.348,121
derrick-j,15.382,38.052,12.776,23,12.595,534,13.268,5,16.8,107,14.747,186
derrick-j,11.208,64.203,5.996,8,7.805,259,8.155,4,10.8,62,10.746,93
derrick-j,12.385,49.35,9.42,42,11.752,1159,9.963,16,12.8,231,11.874,390
derrick-j,13.17275,33.570875,11.417875,300,10.461,7772,11.912375,71,14.4,1597,12.629625,2730
derrick-j,13.053125,33.687125,11.359625,304,10.443125,7934,11.874,73,14.3,1633,12.515,2790
derrick-j,13.024,52.265,13.213,3,15.268,98,10.441,1,13.6,18,12.487,29
derrick-j,12.458,46.495,14.486,16,11.857,759,13.233,6,14.4,156,11.944,247
derrick-j,9.2135,40.34975,8.636,136,9.0595,5104,7.98725,55,9.6,1041,8.83375,1637
derrick-j,13.663,40.174,16.328,17,12.41,728,15.208,5,16.4,152,13.1,244
derrick-j,9.957,71.568,7.371,10,9.033,500,7.323,7,9.6,114,9.547,160
derrick-j,7.554,77.452,3.18,3,6.723,182,4.543,5,6,42,7.243,60
derrick-j,15.719,42.031,13.566,68,10.215,1720,14.051,14,17.6,375,15.071,610
derrick-j,9.516,72.615,4.516,5,7.768,191,5.864,4,8.8,44,9.124,64
derrick-j,13.024,39.524,16.943,3,12.177,152,15.696,1,16.4,32,12.487,51
derrick-j,10.781,33.8195,9.27325,209,8.6565,5749,9.375,54,11.6,1197,10.33625,1966
derrick-j,18.026,27.869,20.945,68,13.619,1883,18.738,10,22,377,17.283,627
derrick-j,13.228,46.055,10.461,25,13.624,625,10.593,8,14,121,12.682,208
derrick-j,11.855,57.612,9.294,14,9.428,521,10.068,6,12,117,11.367,179
derrick-j,13.295,51.686,11.163,19,9.577,618,11.764,6,14.4,138,12.747,215
derrick-j,13.484,39.777,11.015,23,13.412,595,11.828,7,14,116,12.928,206
derrick-j,10.952,56.62,9.054,15,10.848,629,9.523,8,10.8,134,10.5,211
derrick-j,11.208,74.805,3.018,2,5.269,47,5.807,1,11.2,12,10.746,17
derrick-j,8.842,75.765,5.363,1,5.451,68,7.163,1,9.2,18,8.477,24
derrick-j,9.516,74.016,4.79,5,7.174,212,6.041,4,8.8,50,9.124,71
derrick-j,12.341,54.008,8.727,39,10.032,1189,10.049,15,12.4,261,11.832,417
derrick-j,12.603,34.128,20.102,11,10.814,732,18.561,4,18.4,162,12.083,252
derrick-j,12.458,53.103,9.463,40,9.828,1302,10.622,15,12.8,288,11.944,457
derrick-j,6.3015,29.289,4.7355,11,4.6685,355,5.029,4,6.6,80,6.0415,121
derrick-j,8.239,77.911,1.64,4,4.799,113,3.684,5,8,26,7.899,38
derrick-j,9.995,63.039,6.989,13,8.985,573,7.945,9,9.6,126,9.583,193
derrick-j,9.995,63.039,6.989,13,8.985,573,7.945,9,9.6,126,9.583,193
derrick-j,11.9,49.285,7.882,33,10.771,878,9.597,14,12,181,11.409,309
derrick-j,14.118,48.655,11.66,37,11.574,1002,11.64,10,14.8,208,13.536,337
derrick-j,11.251,-4.34,18.337,46,7.1715,1392,15.6815,4,16.8,272,10.787,471
derrick-j,12.65,51.956,9.037,25,11.893,610,9.353,9,13.2,121,12.129,202
derrick-j,13.024,53.877,9.084,45,11.437,1141,9.686,15,13.2,238,12.487,385
derrick-j,10.504,72.109,5.699,15,7.232,544,6.735,9,10,128,10.071,182
derrick-j,22.076,-9.119,40.777,33,12.388,1139,34.24,3,36.8,238,21.166,381
derrick-j,3.129,77.905,5.475,0,1.595,11,2.89,1,0.8,2,3,3
derrick-j,22.076,7.762,24.277,11,14.472,221,22.859,1,27.2,43,21.166,79
derrick-j,14.555,18.94,8.475,4,13.595,44,12.605,1,23.2,8,13.954,17
derrick-j,3.129,50.665,3.765,0,7.705,36,8.18,1,3.2,8,3,14
derrick-j,3.129,49.543,3.766,0,6.831,46,9.082,1,4.4,11,3,19
derrick-j,8.842,73.845,0.41,1,2.76,24,4.45,1,8.8,6,8.477,9
derrick-j,14.555,17.625,28.588,4,9.232,255,25.707,1,26.4,60,13.954,91
derrick-j,10.126,72.519,6.374,3,10.03,93,5.504,2,9.6,19,9.708,28
derrick-j,22.919,-5.955,21.952,12,15.941,194,23.033,1,27.6,36,21.974,75
derrick-j,3.129,66.4,3.678,0,6.472,24,5.24,1,2,5,3,8
derrick-j,3.129,97.025,0.587,0,2.232,17,0.72,1,1.6,4,3,5
derrick-j,18.244,-2.489,34.417,7,5.268,279,32.984,1,34.4,78,17.491,120
derrick-j,11.208,43.783,8.598,2,4.495,94,13.612,1,13.2,26,10.746,42
derrick-j,8.842,47.913,12.886,1,5.854,125,15.023,1,14.4,34,8.477,50
derrick-j,11.208,15.64,13.098,2,18.252,34,12.32,1,18,5,10.746,11
derrick-j,11.208,65.786,13.62,2,12.65,115,9.797,1,12.4,23,10.746,32
derrick-j,11.208,53.971,11.372,2,12.34,94,10.452,1,11.6,19,10.746,30
derrick-j,3.129,75.875,-2.945,0,-2.185,14,3.67,1,1.6,4,3,6
derrick-j,15.903,35.309,11.451,5,13.689,88,12.558,1,18.4,17,15.247,31
derrick-j,15.903,-1.758,33.84,5,2.67,254,33.627,1,34.8,81,15.247,121
derrick-j,3.129,90.99,3.62,0,3.65,15,1.313,1,1.2,3,3,4
derrick-j,3.129,73.845,4.335,0,7.668,29,4.45,1,2.4,6,3,9
derrick-j,3.129,54.701,10.33,0,15.54,42,7.369,1,2.8,7,3,12
derrick-j,13.024,39.139,13.559,3,4.195,129,17.241,1,18,38,12.487,58
derrick-j,3.129,36.62,12.04,0,-4.57,7,8.4,1,0.4,1,3,2
derrick-j,8.842,12.425,11.185,1,15.485,26,12.52,1,11.6,4,8.477,9
derrick-j,3.129,36.62,2.62,0,-16.35,5,8.4,1,0.4,1,3,2
derrick-j,8.842,64.925,5.907,1,9.508,51,6.936,1,8,11,8.477,17
derrick-j,24.504,-20.999,18.811,14,16.016,156,23.144,1,31.2,28,23.494,66
derrick-j,18.244,-10.306,41.067,7,8.582,356,36.062,1,37.6,86,17.491,132
derrick-j,14.555,42.715,6.468,4,5.582,76,12.27,1,16,20,13.954,34
derrick-j,8.842,-6.695,10.185,1,7.485,13,14.69,1,20.8,2,8.477,5
derrick-j,15.903,26.945,19.335,5,12.668,174,18.444,1,19.6,36,15.247,61
derrick-j,8.842,32.56,11.214,1,15.896,32,9.96,1,10,5,8.477,10
derrick-j,18.244,7.044,28.821,7,7.024,248,28.176,1,29.6,64,17.491,102
derrick-j,15.903,-33.935,17.306,5,24.639,59,19.98,1,28,8,15.247,22
derrick-j,3.129,53.639,10.466,0,13.333,74,9.256,1,5.6,14,3,23
derrick-j,3.129,77.905,-1.59,0,-7.24,8,2.89,1,0.8,2,3,3
derrick-j,11.208,35.472,18.843,2,13.304,168,16.758,1,15.6,34,10.746,55
derrick-j,14.555,22.41,9.934,4,12.043,76,13.86,1,16.4,15,13.954,30
derrick-j,11.208,17.445,2.765,2,5.705,27,12.317,1,15.6,6,10.746,13
derrick-j,13.024,31.97,5.999,3,7.496,66,12.775,1,13.6,16,12.487,30
derrick-j,15.903,3.246,35.915,5,9.017,316,31.439,1,32.4,75,15.247,113
derrick-j,14.555,15.765,27.376,4,12.094,251,24.227,1,24,53,13.954,86
derrick-j,13.024,47.565,4.578,3,4.469,65,11.097,1,13.6,18,12.487,30
derrick-j,11.208,41.852,5.479,2,8.973,50,10.155,1,11.6,11,10.746,20
derrick-j,3.129,49.543,3.766,0,6.831,46,9.082,1,4.4,11,3,19
derrick-j,3.129,55.215,5.356,0,6.067,66,9.781,1,6.8,17,3,27
derrick-j,8.842,35.605,5.475,1,1.595,11,8.79,1,20.8,2,8.477,4
derrick-j,3.129,36.62,2.62,0,-16.35,5,8.4,1,0.4,1,3,2
derrick-j,3.129,35.605,-6.3,0,-13.13,6,8.79,1,0.8,2,3,4
derrick-j,3.129,79.558,4.233,0,5.287,60,6.137,1,6.4,16,3,21
derrick-j,22.076,-5.19,31.039,11,13.548,289,28.392,1,30.4,58,21.166,105
derrick-j,13.024,6.359,14.367,3,20.589,48,14.111,1,19.6,7,12.487,16
derrick-j,3.129,61.24,2.587,0,6.232,34,6.705,1,3.2,8,3,13
derrick-j,11.208,44.405,7.12,2,10.65,50,9.55,1,12,10,10.746,18
derrick-j,3.129,66.1,0.863,0,3.451,34,6.276,1,3.6,9,3,14
derrick-j,11.208,-29.875,19.428,2,25.792,33,18.42,1,21.6,4,10.746,11
derrick-j,3.129,83.32,3.678,0,6.472,24,2.88,1,2,5,3,7
derrick-j,11.208,-8.725,17.072,2,22.848,31,15.47,1,21.6,4,10.746,10
derrick-j,15.903,30.333,8.681,5,10.225,78,13.252,1,18.4,17,15.247,32
derrick-j,3.129,54.701,5.62,0,9.65,35,7.369,1,2.8,7,3,12
derrick-j,11.208,46.605,5.765,2,8.705,54,9.74,1,11.2,12,10.746,21
derrick-j,11.208,31.545,9.83,2,14.54,36,10.35,1,15.6,6,10.746,12
derrick-j,3.129,77.905,0.765,0,-4.295,9,2.89,1,0.8,2,3,3
derrick-j,17.122,-12.832,17.194,6,21.747,94,18.527,1,22.4,14,16.416,34
derrick-j,8.842,-6.695,14.895,1,13.375,15,14.69,1,20.8,2,8.477,5
derrick-j,14.555,8.255,29.636,4,1.79,221,30.492,1,31.6,74,13.954,108
derrick-j,13.024,36.161,13.851,3,15.44,104,12.936,1,13.6,19,12.487,34
derrick-j,8.842,12.425,10.008,1,14.013,25,12.52,1,11.6,4,8.477,9
derrick-j,3.129,73.845,1.195,0,3.742,25,4.45,1,2.4,6,3,9
derrick-j,14.555,21.647,12.801,4,11.626,111,15.954,1,16,23,13.954,44
derrick-j,3.129,77.905,10.185,0,7.485,13,2.89,1,0.8,2,3,3
derrick-j,3.129,67.755,6.942,0,10.177,57,6.79,1,4.8,12,3,18
derrick-j,11.208,-1.28,13.098,2,18.252,34,14.68,1,18,5,10.746,12
derrick-j,11.208,17.445,11.4,2,16.503,38,12.317,1,15.6,6,10.746,13
derrick-j,11.208,15.64,5.562,2,8.828,26,12.32,1,18,5,10.746,11
derrick-j,11.208,29.515,11.419,2,17.276,49,11.13,1,13.2,8,10.746,16
derrick-j,8.842,82.39,4.354,1,8.441,37,3.755,1,8,8,8.477,11
derrick-j,13.024,18.444,11.676,3,17.223,44,12.426,1,19.6,7,12.487,15
derrick-j,8.842,50.665,6.709,1,11.386,41,8.18,1,8,8,8.477,14
derrick-j,11.208,55.215,9.235,2,10.918,80,9.781,1,11.2,17,10.746,27
derrick-j,8.842,61.325,3.823,1,6.527,43,7.19,1,8,10,8.477,16
derrick-j,8.842,34.59,2.05,1,1.687,14,9.18,1,14.4,3,8.477,6
derrick-j,8.842,33.575,8.83,1,12.54,24,9.57,1,11.6,4,8.477,8
derrick-j,3.129,97.025,-6.477,0,-6.603,11,0.72,1,1.6,4,3,5
derrick-j,11.208,49.914,10.551,2,9.437,98,11.763,1,12.4,22,10.746,35
derrick-j,13.024,50.61,8.992,3,10.865,73,9.927,1,14,15,12.487,25
derrick-j,3.129,54.725,6.475,0,9.595,22,6.62,1,1.6,4,3,7
derrick-j,11.208,65.725,5.756,2,7.443,60,7.57,1,11.2,14,10.746,21
derrick-j,8.842,90.959,1.583,1,4.601,29,2.311,1,8.4,7,8.477,9
derrick-j,11.208,17.445,11.4,2,16.503,38,12.317,1,15.6,6,10.746,13
derrick-j,11.208,32.56,5.562,2,8.828,26,9.96,1,18,5,10.746,10
derrick-j,3.129,120.205,-1.59,0,-7.24,8,-3.01,1,0.8,2,3,2
derrick-j,3.129,59.745,1.195,0,3.742,25,6.417,1,2.4,6,3,10
derrick-j,13.024,31.538,16.133,3,12.041,142,16.065,1,15.6,29,12.487,50
derrick-j,11.208,15.64,13.098,2,18.252,34,12.32,1,18,5,10.746,11
derrick-j,8.842,-6.695,14.895,1,13.375,15,14.69,1,20.8,2,8.477,5
derrick-j,3.129,73.845,4.335,0,7.668,29,4.45,1,2.4,6,3,9
derrick-j,11.208,53.971,15.338,2,17.3,110,10.452,1,11.6,19,10.746,30
derrick-j,3.129,35.605,3.12,0,-1.35,10,8.79,1,0.8,2,3,4
derrick-j,8.842,46.665,11.625,1,5.778,115,14.203,1,13.2,30,8.477,46
derrick-j,3.129,84.9,0.34,0,2.797,33,3.653,1,3.6,9,3,12
derrick-j,15.903,34.532,12.692,5,12.115,108,13.908,1,17.6,22,15.247,39
derrick-j,8.842,42.616,0.91,1,3.76,28,9.054,1,8.4,7,8.477,13
